trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.5, 'e': 0.6104082595112501}",25,0,-111.01677504155232,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.6020852949162546}",35,3,-40.40671482859606,"{0: 27, 1: 1, 2: 2, 3: 1, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.5915384104027633}",25,2,-189.92619036902985,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 4}",1
111,False,"{'a': 0.5, 'e': 0.5837780527638754}",20,1,-132.02042616938903,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 2}",1
112,False,"{'a': 0.5, 'e': 0.5774273128455762}",30,2,-100.78753673530466,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 2}",1
113,False,"{'a': 0.5, 'e': 0.5685288021774273}",20,2,-26.88671451571946,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.5625153428112225}",20,0,-80.18760647020291,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.5560308415217297}",30,7,-39.72621946688168,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.5487145393500554}",20,0,-21.613547283781948,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.5425314478989467}",20,0,-6.50391686062696,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.5362327557837956}",20,0,-33.54228600054404,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.5299797951187134}",25,0,-49.58048959776813,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.5222767556478063}",20,6,-16.653108315167234,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.5180007636120094}",25,15,-12.750055925977797,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.5148619195839499}",20,0,-14.952772014374606,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.5088038785257856}",25,0,-56.909954536423065,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.5013240625163176}",30,0,-80.02434781674052,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.4924502737899113}",25,3,-28.968074008920816,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.4859406093309085}",20,0,-87.2989645381484,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.4801150801129991}",25,0,-52.264026592849135,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.4728616646407623}",20,12,-25.611407545912705,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.47054793005267265}",20,0,-123.79539990900496,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.46475034692274064}",25,0,-37.72725761956689,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.45767293223175715}",20,0,-85.60608257337174,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.45136872316556803}",25,0,-22.738387292487484,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.44285586583941366}",30,0,-15.16311566696048,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.4347397320171775}",20,0,-2.8263247739747364,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.4294527009110059}",20,0,10.302724998279869,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.4241651487788587}",30,8,-33.99978837271216,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.4184309033678646}",25,18,-9.858051653913867,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.41655636219439396}",20,0,8.465986465484127,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.4113767773697068}",20,14,12.133440789798453,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.409779716586767}",30,23,13.10567701777508,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.40792644101757486}",30,0,0.30132571272081843,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.40046228014582697}",20,12,-10.272829110152037,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.398412306810491}",25,9,-24.544841312716816,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.39449142191662967}",25,9,-47.38072046355535,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.3905864507199178}",35,13,-70.83836573614929,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
146,False,"{'a': 0.5, 'e': 0.385358421040013}",20,10,5.709241558729515,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.3829081257540619}",20,9,-4.733852467889603,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.38027141055628993}",20,8,16.504368628684734,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.3774770428062214}",35,26,3.9416603739104294,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.3753469331929236}",30,0,3.7675497042343444,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.36858337039020916}",20,12,-0.9012399607373753,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.36668898472321887}",25,0,-17.779935425657023,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.3611956111228818}",25,20,10.87714060915949,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.3600538677444226}",30,4,-2.735047846801628,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.35451470836004073}",30,8,-20.1791927483374,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
